# Independent Fit Summary
State  N          N_err      Chi2       RedChi2   
--------------------------------------------------
1      16.2643    0.9446     4.0459     0.5057    
2      12.5543    0.7292     19.2159    2.4020    
3      2.2339     0.1523     55.4168    6.9271    
4      0.9541     0.0651     12.7064    1.5883    
5      0.2891     0.0285     11.4246    1.4281    
6      0.5242     0.0463     14.6133    2.0876    
7      16.8556    0.9790     10.2503    1.2813    
8      0.3470     0.0280     17.7581    2.5369    
9      0.5431     0.0384     29.6796    3.7099    
