# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 37.3449871394 38.9578677903 40.5707484412 35.7321064885 34.1192258377
1.0000000000 37.3159115144 38.9262808762 40.5366502379 35.7055421527 34.0951727909
2.0000000000 37.2284882212 38.8314004647 40.4343127083 35.6255759776 34.0226637340
3.0000000000 37.0820832212 38.6728168213 40.2635504215 35.4913496210 33.9006160208
4.0000000000 36.8755116346 38.4497019254 40.0238922163 35.3013213438 33.7271310530
5.0000000000 36.6068808413 38.1606286836 39.7143765258 35.0531329991 33.4993851569
6.0000000000 36.2734440865 37.8033925768 39.3333410670 34.7434955963 33.2135471060
7.0000000000 35.8715159135 37.3748929744 38.8782700353 34.3681388526 32.8647617917
8.0000000000 35.3964967548 36.8711164932 38.3457362315 33.9218770165 32.4472572781
9.0000000000 34.8430375240 36.2872681089 37.7314986938 33.3988069392 31.9545763543
10.0000000000 34.2053592067 35.6180533151 37.0307474234 32.7926650984 31.3799709901
11.0000000000 33.4777108894 34.8581118498 36.2385128102 32.0973099291 30.7169089687
12.0000000000 32.6549284375 34.0025570528 35.3501856681 31.3072998222 29.9596712069
13.0000000000 31.7330455288 33.0475781691 34.3621108094 30.4185128886 29.1039802483
14.0000000000 30.7098902885 31.9910388220 33.2721873555 29.4287417549 28.1475932214
15.0000000000 29.5856047115 30.8330086049 32.0804124982 28.3382008182 27.0907969248
16.0000000000 28.3630351442 29.5761736059 30.7893120675 27.1498966826 25.9367582210
17.0000000000 27.0479577885 28.2260861332 29.4042144780 25.8698294437 24.6917010989
18.0000000000 25.6491129567 26.7912309102 27.9333488636 24.5069950033 23.3648770499
19.0000000000 24.1780583173 25.2829026830 26.3877470486 23.0732139517 21.9683695860
20.0000000000 22.6488534615 23.7149222590 24.7809910564 21.5827846641 20.5167158667
21.0000000000 21.0776110337 22.1032076809 23.1288043282 20.0520143864 19.0264177391
22.0000000000 19.4819502163 20.4652484199 21.4485466234 18.4986520128 17.5153538093
23.0000000000 17.8803943269 18.8195161316 19.7586379363 16.9412725222 16.0021507175
24.0000000000 16.2917468510 17.1848479580 18.0779490651 15.3986457439 14.5055446368
25.0000000000 14.7344813462 15.5798414501 16.4252015541 13.8891212422 13.0437611382
26.0000000000 13.2261693750 14.0222788367 14.8183882985 12.4300599133 11.6339504515
27.0000000000 11.7829612500 12.5286029051 13.2742445602 11.0373195949 10.2916779398
28.0000000000 10.4191434952 11.1134638935 11.8077842919 9.7248230969 9.0305026985
29.0000000000 9.1467794808 9.7893473498 10.4319152189 8.5042116117 7.8616437427
30.0000000000 7.9754427139 8.5662913435 9.1571399730 7.3845940844 6.7937454549
31.0000000000 6.9120507740 7.4517042043 7.9913576346 6.3723973438 5.8327439135
32.0000000000 5.9607999207 6.4502803990 6.9397608774 5.4713194423 4.9818389640
33.0000000000 5.1232016274 5.5640212562 6.0048408850 4.6823819986 4.2415623698
34.0000000000 4.3982119447 4.7923486107 5.1864852767 4.0040752787 3.6099386127
35.0000000000 3.7824444231 4.1323054739 4.4821665247 3.4325833723 3.0827223215
36.0000000000 3.2704509808 3.5788276702 3.8872043596 2.9620742914 2.6536976019
37.0000000000 2.8550523726 3.1250689478 3.3950855231 2.5850357974 2.3150192221
38.0000000000 2.5277001755 2.7627619539 2.9978237322 2.2926383971 2.0575766187
39.0000000000 2.2788503029 2.4825944134 2.6863385240 2.0751061923 1.8713620818
40.0000000000 2.0983314255 2.2745821024 2.4508327794 1.9220807485 1.7458300716
41.0000000000 1.9756938990 2.1284211194 2.2811483399 1.8229666786 1.6702394582
42.0000000000 1.9005277740 2.0338007756 2.1670737771 1.7672547725 1.6339817710
43.0000000000 1.8627424880 1.9806595522 2.0985766165 1.7448254237 1.6269083595
44.0000000000 1.8528038245 1.9593744048 2.0659449850 1.7462332443 1.6396626640
45.0000000000 1.8619258822 1.9608949476 2.0598640130 1.7629568168 1.6639877515
46.0000000000 1.8822191995 1.9768634573 2.0715077151 1.7875749417 1.6929306840
47.0000000000 1.9067957115 1.9997615425 2.0927273735 1.8138298805 1.7208640495
48.0000000000 1.9298340745 2.0230770309 2.1163199873 1.8365911181 1.7433481617
49.0000000000 1.9466082212 2.0414374996 2.1362667781 1.8517789427 1.7569496642
50.0000000000 1.9534825240 2.0506653678 2.1478482116 1.8562996802 1.7591168364
51.0000000000 1.9478777764 2.0477556089 2.1476334414 1.8479999439 1.7481221114
52.0000000000 1.9282112957 2.0308000817 2.1333888678 1.8256225096 1.7230337236
53.0000000000 1.8938155337 1.9988831431 2.1039507525 1.7887479242 1.6836803148
54.0000000000 1.8448386106 1.9519632733 2.0590879360 1.7377139479 1.6305892852
55.0000000000 1.7821318053 1.8907475001 1.9993631948 1.6735161105 1.5649004158
56.0000000000 1.7071271418 1.8165619076 1.9259966734 1.5976923760 1.4882576102
57.0000000000 1.6217103894 1.7312207724 1.8407311553 1.5122000065 1.4026896235
58.0000000000 1.5280935144 1.6368978527 1.7457021909 1.4192891762 1.3104848379
59.0000000000 1.4286911034 1.5360015298 1.6433119562 1.3213806770 1.2140702505
60.0000000000 1.3260045120 1.4310580178 1.5361115236 1.2209510062 1.1158975005
61.0000000000 1.2225174200 1.3246055893 1.4266937587 1.1204292506 1.0183410812
