energy,spin,certain,ell,c2s,c2s_err,chi2
0.000,3.5,1,3.,20.081,0.562,0.112
0.646,1.5,1,1.,12.062,0.702,0.985
1.398,1.5,0,2.,3.557,0.346,3.088
1.992,1.5,1,1.,0.909,0.068,1.145
2.023,3.5,0,3.,0.45,0.083,3.524
2.515,2.5,0,3.,0.374,0.031,0.855
2.638,0.5,1,1.,9.123,0.286,0.528
2.776,5.5,0,3.,0.535,0.064,0.937
3.120,4.5,0,3.,0.579,0.084,1.778
3.180,1.5,0,2.,0.658,0.072,1.707
3.262,1.5,1,1.,3.169,0.274,0.971
3.355,1.5,0,2.,1.219,0.102,1.657
3.442,3.5,0,3.,1.062,0.112,0.732
3.493,1.5,1,1.,1.495,0.098,0.586
3.605,3.5,0,3.,0.375,0.023,0.389
3.666,1.5,0,2.,0.617,0.048,1.563
4.005,0.5,1,1.,0.895,0.121,0.909
4.072,1.5,0,1.,0.399,0.049,0.769
4.147,0.5,0,1.,0.619,0.087,0.976
4.226,2.5,0,3.,0.558,0.072,0.455
4.368,2.5,0,3.,0.509,0.076,0.408
4.411,2.5,0,3.,0.996,0.124,0.595
4.492,1.5,0,1.,0.880,0.187,0.477
4.458,1.5,0,1.,0.854,0.271,2.01
4.675,2.5,0,3.,1.037,0.247,0.922
4.812,1.5,0,1.,0.275,0.041,0.6
4.858,2.5,0,3.,0.857,0.162,1.995
4.882,2.5,0,3.,0.128,0.056,3.765
4.893,1.5,0,1.,1.037,0.207,1.738
5.054,4.5,0,4.,0.622,0.073,0.711
5.090,4.5,0,4.,0.503,0.113,2.08
5.122,4.5,0,4.,0.458,0.053,0.686
5.505,2.5,1,3.,6.427,0.844,1.09
5.666,2.5,1,3.,6.371,0.801,1.011
5.720,2.5,1,3.,3.03,0.428,1.24
6.150,2.5,0,3.,1.702,0.263,1.149
6.408,2.5,0,3.,1.492,0.298,2.179
6.550,2.5,0,3.,0.689,0.189,2.766
6.732,2.5,0,3.,0.871,0.338,1.881
6.775,2.5,0,3.,0.833,0.184,2.035
