# Combined Experimental Data for 36S(d,p)37S
# StateID  Energy(keV)  Angle(deg)  Cross_Section(mb/sr)  Error(mb/sr)
  1       0   10.0    1.4200E+02    2.1900E+01
  1       0   15.0    2.3300E+02    3.5000E+01
  1       0   20.0    2.8000E+02    4.2100E+01
  1       0   23.0    2.6300E+02    3.9500E+01
  1       0   27.0    3.1700E+02    4.7500E+01
  1       0   35.0    2.2700E+02    3.4100E+01
  1       0   40.0    1.4900E+02    2.2500E+01
  1       0   45.0    7.9200E+01    1.1900E+01
  1       0   50.0    4.5600E+01    6.9300E+00
  2     644   10.0    9.6600E+02    1.4500E+02
  2     644   15.0    8.9100E+02    1.3400E+02
  2     644   20.0    4.7200E+02    7.0900E+01
  2     644   23.0    2.1700E+02    3.2600E+01
  2     644   27.0    1.2300E+02    1.8700E+01
  2     644   35.0    1.2000E+02    1.8100E+01
  2     644   40.0    1.2600E+02    1.9000E+01
  2     644   45.0    9.7900E+01    1.4700E+01
  2     644   50.0    5.3800E+01    8.1500E+00
  3    1398   10.0    9.4000E+01    1.4900E+01
  3    1398   15.0    9.5200E+01    1.4400E+01
  3    1398   20.0    5.6100E+01    8.4900E+00
  3    1398   23.0    2.5400E+01    3.8900E+00
  3    1398   27.0    1.7700E+01    3.0400E+00
  3    1398   35.0    1.7000E+01    3.5500E+00
  3    1398   40.0    1.1800E+01    2.1200E+00
  3    1398   45.0    7.8900E+00    1.4600E+00
  3    1398   50.0    3.3300E+00    9.3800E-01
  4    1991   10.0    7.4700E+01    1.2700E+01
  4    1991   15.0    6.3500E+01    9.7000E+00
  4    1991   20.0    3.7700E+01    5.8500E+00
  4    1991   23.0    1.9700E+01    3.0700E+00
  4    1991   27.0    1.5900E+01    3.0100E+00
  4    1991   35.0    1.2000E+01    2.2900E+00
  4    1991   40.0    8.3400E+00    1.5600E+00
  4    1991   45.0    5.8300E+00    1.2200E+00
  4    1991   50.0    3.0200E+00    7.8000E-01
  5    2023   10.0    1.8100E+01    5.5300E+00
  5    2023   15.0    1.0600E+01    2.3900E+00
  5    2023   20.0    9.5200E+00    1.8200E+00
  5    2023   23.0    6.5200E+00    1.3000E+00
  5    2023   27.0    6.6400E+00    1.7800E+00
  5    2023   35.0    2.6200E+00    1.4700E+00
  5    2023   40.0    4.9600E+00    1.1900E+00
  5    2023   45.0    2.0600E+00    1.0700E+00
  5    2023   50.0    7.7800E-01    5.3700E-01
  6    2514   15.0    6.7300E+00    1.6800E+00
  6    2514   20.0    1.1000E+01    1.8700E+00
  6    2514   23.0    1.0300E+01    1.6800E+00
  6    2514   27.0    7.7500E+00    1.8800E+00
  6    2514   35.0    5.6600E+00    1.6500E+00
  6    2514   40.0    4.4000E+00    1.1400E+00
  6    2514   45.0    4.2900E+00    1.2100E+00
  6    2514   50.0    3.1800E+00    7.9400E-01
  7    2637   10.0    7.9000E+02    1.1900E+02
  7    2637   15.0    5.5600E+02    8.3600E+01
  7    2637   20.0    2.6100E+02    3.9200E+01
  7    2637   23.0    1.4000E+02    2.1100E+01
  7    2637   27.0    1.0800E+02    1.6400E+01
  7    2637   35.0    9.4000E+01    1.4300E+01
  7    2637   40.0    7.3500E+01    1.1100E+01
  7    2637   45.0    4.3700E+01    6.6700E+00
  7    2637   50.0    2.7200E+01    4.1800E+00
  8    2776   10.0    1.9100E+01    3.8900E+00
  8    2776   15.0    1.8100E+01    4.8400E+00
  8    2776   23.0    8.9100E+00    1.4300E+00
  8    2776   27.0    8.9600E+00    1.5800E+00
  8    2776   35.0    8.2400E+00    1.7100E+00
  8    2776   40.0    5.6900E+00    1.6600E+00
  8    2776   45.0    2.3200E+00    7.6500E-01
  8    2776   50.0    2.9200E+00    6.2200E-01
  9    3120   10.0    2.9900E+01    8.4600E+00
  9    3120   15.0    1.5300E+01    4.6100E+00
  9    3120   20.0    1.6600E+01    2.7200E+00
  9    3120   23.0    8.2900E+00    1.3500E+00
  9    3120   27.0    1.3300E+01    2.1600E+00
  9    3120   35.0    7.7700E+00    1.6600E+00
  9    3120   40.0    8.8200E+00    1.9400E+00
  9    3120   45.0    4.9000E+00    1.0000E+00
  9    3120   50.0    4.0700E+00    7.5400E-01
