# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
0.0000000000 49.2021859135 93.1645923326 137.1269987517 5.2397794943 -38.7226269248
1.0000000000 49.2036058654 93.1270720407 137.0505382159 5.2801396901 -38.6433264852
2.0000000000 49.2071645673 93.0136061368 136.8200477064 5.4007229978 -38.4057185717
3.0000000000 49.2107132452 92.8214011590 136.4320890727 5.6000253314 -38.0106625823
4.0000000000 49.2105311779 92.5455818222 135.8806324665 5.8754805336 -37.4595701107
5.0000000000 49.2011527404 92.1788617757 135.1565708110 6.2234437051 -36.7542653303
6.0000000000 49.1752193990 91.7113579502 134.2474965013 6.6390808479 -35.8970577032
7.0000000000 49.1234080769 91.1304408918 133.1374737067 7.1163752620 -34.8906575529
8.0000000000 49.0345229087 90.4209925426 131.8074621765 7.6480532748 -33.7384163592
9.0000000000 48.8957957692 89.5659181208 130.2360404724 8.2256734177 -32.4444489339
10.0000000000 48.6934392548 88.5472262700 128.4010132852 8.8396522396 -31.0141347755
11.0000000000 48.4134342308 87.3474287341 126.2814232374 9.4794397275 -29.4545547758
12.0000000000 48.0425059615 85.9513080182 123.8601100749 10.1337039049 -27.7750981518
13.0000000000 47.5691740865 84.3477305891 121.1262870916 10.7906175840 -25.9879389185
14.0000000000 46.9847620192 82.5313652070 118.0779683948 11.4381588314 -24.1084443563
15.0000000000 46.2841866106 80.5039032589 114.7236199073 12.0644699622 -22.1552466861
16.0000000000 45.4664191106 78.2746343789 111.0828496472 12.6582038422 -20.1500114261
17.0000000000 44.5344973077 75.8601269269 107.1857565462 13.2088676885 -18.1167619308
18.0000000000 43.4950686298 73.2830273775 103.0709861253 13.7071098821 -16.0808488656
19.0000000000 42.3575184856 70.5700971651 98.7826758446 14.1449398061 -14.0676388734
20.0000000000 41.1328246635 67.7498181032 94.3668115430 14.5158312237 -12.1011622161
21.0000000000 39.8323231731 64.8498782615 89.8674333499 14.8147680847 -10.2027870037
22.0000000000 38.4666347837 61.8951449181 85.3236550525 15.0381246493 -8.3903854851
23.0000000000 37.0449233173 58.9062902778 80.7676572384 15.1835563568 -6.6778106038
24.0000000000 35.5746348317 55.8995305204 76.2244262090 15.2497391431 -5.0751565455
25.0000000000 34.0617107452 52.8871853927 71.7126600402 15.2362360977 -3.5892385499
26.0000000000 32.5112060577 49.8791438408 67.2470816239 15.1432682746 -2.2246695085
27.0000000000 30.9281079808 46.8845358897 62.8409637987 14.9716800718 -0.9847478372
28.0000000000 29.3181649279 43.9134168632 58.5086687986 14.7229129925 0.1276610572
29.0000000000 27.6885156731 40.9779226721 54.2673296711 14.3991086741 1.1097016750
30.0000000000 26.0479993750 38.0927285270 50.1374576790 14.0032702230 1.9585410710
31.0000000000 24.4071068510 35.2747739022 46.1424409534 13.5394397997 2.6717727485
32.0000000000 22.7776082212 32.5423417829 42.3070753446 13.0128746594 3.2481410977
33.0000000000 21.1719510096 29.9137758122 38.6556006148 12.4301262070 3.6883014044
34.0000000000 19.6025407692 27.4060360626 35.2095313560 11.7990454759 3.9955501825
35.0000000000 18.0810209856 25.0334187854 31.9858165853 11.1286231857 4.1762253858
36.0000000000 16.6176359615 22.8065234871 28.9954110127 10.4287484359 4.2398609103
37.0000000000 15.2207663462 20.7316908450 26.2426153439 9.7098418473 4.1989173484
38.0000000000 13.8966793029 18.8109215300 23.7251637571 8.9824370758 4.0681948487
39.0000000000 12.6495168029 17.0422815066 21.4350462104 8.2567520991 3.8639873954
40.0000000000 11.4815154567 15.4207317951 19.3599481336 7.5422991183 3.6030827799
41.0000000000 10.3933936010 13.9392178234 17.4850420458 6.8475693785 3.3017451561
42.0000000000 9.3848236899 12.5898168364 15.7948099830 6.1798305434 2.9748373968
43.0000000000 8.4548757476 11.3647223243 14.2745689009 5.5450291709 2.6351825943
44.0000000000 7.6023462885 10.2568872492 12.9114282100 4.9478053277 2.2932643670
45.0000000000 6.8259128077 9.2602422483 11.6945716890 4.3915833670 1.9572539264
46.0000000000 6.1241172837 8.3695225186 10.6149277535 3.8787120487 1.6333068138
47.0000000000 5.4952221466 7.5798229964 9.6644238462 3.4106212968 1.3260204471
48.0000000000 4.9370140553 6.8860606420 8.8351072286 2.9879674686 1.0389208819
49.0000000000 4.4466279760 6.2825108616 8.1183937472 2.6107450904 0.7748622048
50.0000000000 4.0204430553 5.7625236928 7.5046043304 2.2783624177 0.5362817802
51.0000000000 3.6540709784 5.3184612109 6.9828514434 1.9896807459 0.3252905134
52.0000000000 3.3424302260 4.9418304029 6.5412305798 1.7430300490 0.1436298721
53.0000000000 3.0798866442 4.6235562624 6.1672258805 1.5362170261 -0.0074525921
54.0000000000 2.8604375168 4.3543332608 5.8482290048 1.3665417728 -0.1273539712
55.0000000000 2.6779214159 4.1250025436 5.5720836714 1.2308402881 -0.2162408397
56.0000000000 2.5262408606 3.9269244397 5.3276080189 1.1255572814 -0.2751262977
57.0000000000 2.3995827885 3.7523132932 5.1050437979 1.0468522837 -0.3058782210
58.0000000000 2.2926192548 3.5945082691 4.8963972834 0.9907302405 -0.3111587738
59.0000000000 2.2006663630 3.4481451423 4.6956239215 0.9531875837 -0.2942911956
60.0000000000 2.1197816731 3.3092080197 4.4986343664 0.9303553264 -0.2590710203
61.0000000000 2.0467890745 3.1749513270 4.3031135795 0.9186268220 -0.2095354305
62.0000000000 1.9792338245 3.0437146315 4.1081954386 0.9147530175 -0.1497277895
63.0000000000 1.9152839976 2.9146600834 3.9140361692 0.9159079118 -0.0834681740
64.0000000000 1.8536038750 2.7874982674 3.7213926599 0.9197094826 -0.0141849099
65.0000000000 1.7932258269 2.6622413138 3.5312568006 0.9242103401 0.0551948533
66.0000000000 1.7334411034 2.5390222668 3.3446034303 0.9278599399 0.1222787765
67.0000000000 1.6737208389 2.4179870281 3.1622532173 0.9294546498 0.1851884606
68.0000000000 1.6136689159 2.2992571054 2.9848452950 0.9280807263 0.2424925368
69.0000000000 1.5530015841 2.1829376078 2.8128736315 0.9230655605 0.2931295368
70.0000000000 1.4915452981 2.0691499325 2.6467545668 0.9139406637 0.3363360293
71.0000000000 1.4292454904 1.9580730502 2.4869006100 0.9004179306 0.3715903707
72.0000000000 1.3661796562 1.8499793572 2.3337790582 0.8823799553 0.3985802543
73.0000000000 1.3025688341 1.7452594162 2.1879499982 0.8598782521 0.4171876700
74.0000000000 1.2387828856 1.6444309969 2.0500791082 0.8331347743 0.4274866630
75.0000000000 1.1753338709 1.5481285324 1.9209231939 0.8025392094 0.4297445479
76.0000000000 1.1128550279 1.4570713427 1.8012876575 0.7686387131 0.4244223983
77.0000000000 1.0520624060 1.3720096940 1.6919569820 0.7321151180 0.4121678300
78.0000000000 0.9937023731 1.2936543551 1.5936063371 0.6937503911 0.3937984090
79.0000000000 0.9384906875 1.2225996981 1.5067087088 0.6543816769 0.3702726662
80.0000000000 0.8870517524 1.1592512622 1.4314507719 0.6148522426 0.3426527329
81.0000000000 0.8398681423 1.1037723701 1.3676765979 0.5759639145 0.3120596867
82.0000000000 0.7972477529 1.0560577307 1.3148677085 0.5384377751 0.2796277973
83.0000000000 0.7593133680 1.0157396861 1.2721660041 0.5028870500 0.2464607319
84.0000000000 0.7260141925 0.9822268577 1.2384395229 0.4698015274 0.2135888622
85.0000000000 0.6971551661 0.9547676766 1.2123801872 0.4395426556 0.1819301451
86.0000000000 0.6724370639 0.9325281354 1.1926192069 0.4123459925 0.1522549210
87.0000000000 0.6514993125 0.9146692384 1.1778391644 0.3883293866 0.1251594606
88.0000000000 0.6339585163 0.9004115413 1.1668645662 0.3675054914 0.1010524665
89.0000000000 0.6194376724 0.8890780692 1.1587184659 0.3497972756 0.0801568788
90.0000000000 0.6075837043 0.8801127150 1.1526417257 0.3350546936 0.0625256830
91.0000000000 0.5980734014 0.8730755411 1.1480776807 0.3230712618 0.0480691221
92.0000000000 0.5906098171 0.8676202250 1.1446306329 0.3135994092 0.0365890013
93.0000000000 0.5849123392 0.8634613537 1.1420103682 0.3063633247 0.0278143102
94.0000000000 0.5807039000 0.8603381335 1.1399723670 0.3010696665 0.0214354330
95.0000000000 0.5776988666 0.8579819994 1.1382651322 0.2974157338 0.0171326010
96.0000000000 0.5755941296 0.8560920283 1.1365899270 0.2950962309 0.0145983322
97.0000000000 0.5740654389 0.8543219705 1.1345785022 0.2938089073 0.0135523757
98.0000000000 0.5727697788 0.8522801480 1.1317905172 0.2932594097 0.0137490405
99.0000000000 0.5713537103 0.8495408223 1.1277279342 0.2931665984 0.0149794865
100.0000000000 0.5694667781 0.8456661766 1.1218655750 0.2932673797 0.0170679812
101.0000000000 0.5667782752 0.8402347971 1.1136913189 0.2933217534 0.0198652316
102.0000000000 0.5629952526 0.8328728559 1.1027504591 0.2931176494 0.0232400462
103.0000000000 0.5578795964 0.8232842889 1.0886889815 0.2924749039 0.0270702113
104.0000000000 0.5512620000 0.8112752787 1.0712885574 0.2912487213 0.0312354426
105.0000000000 0.5430512702 0.7967708550 1.0504904399 0.2893316853 0.0356121005
106.0000000000 0.5332379978 0.7798215349 1.0264050720 0.2866544608 0.0400709237
107.0000000000 0.5218923132 0.7605992443 0.9993061755 0.2831853821 0.0444784510
108.0000000000 0.5091563353 0.7393844375 0.9696125397 0.2789282332 0.0487001310
109.0000000000 0.4952323139 0.7165449624 0.9378576108 0.2739196655 0.0526070171
110.0000000000 0.4803679262 0.6925106905 0.9046534547 0.2682251619 0.0560823977
111.0000000000 0.4648404798 0.6677462919 0.8706521040 0.2619346677 0.0590288556
112.0000000000 0.4489413236 0.6427246725 0.8365080215 0.2551579746 0.0613746257
113.0000000000 0.4329619072 0.6179039341 0.8028459610 0.2480198803 0.0630778534
114.0000000000 0.4171822079 0.5937088323 0.7702354567 0.2406555836 0.0641289592
115.0000000000 0.4018621099 0.5705181859 0.7391742620 0.2332060338 0.0645499577
116.0000000000 0.3872356087 0.5486569829 0.7100783571 0.2258142344 0.0643928602
